,InstanceType,MaximumNetworkInterfaces
680,Standard_M16ms,8
681,Standard_M176ds_3_v3,8
682,Standard_M176ds_4_v3,8
683,Standard_M176s_3_v3,8
684,Standard_M176s_4_v3,8
685,Standard_M192idms_v2,8
686,Standard_M192ids_v2,8
687,Standard_M192ims_v2,8
688,Standard_M192is_v2,8
689,Standard_M208ms_v2,8
690,Standard_M208s_v2,8
691,Standard_M24ds_v3,8
692,Standard_M24s_v3,8
693,Standard_M32-16ms,8
694,Standard_M32-8ms,8
695,Standard_M32dms_v2,8
696,Standard_M32ls,8
697,Standard_M32ms,8
698,Standard_M32ms_v2,8
699,Standard_M32ts,8
700,Standard_M416-208ms_v2,8
701,Standard_M416-208s_v2,8
702,Standard_M416ms_v2,8
703,Standard_M416s_8_v2,8
704,Standard_M416s_v2,8
705,Standard_M48ds_1_v3,8
706,Standard_M48s_1_v3,8
707,Standard_M64,8
708,Standard_M64-16ms,8
709,Standard_M64-32ms,8
710,Standard_M64dms_v2,8
711,Standard_M64ds_v2,8
712,Standard_M64ls,8
713,Standard_M64m,8
714,Standard_M64ms,8
715,Standard_M64ms_v2,8
716,Standard_M64s,8
717,Standard_M64s_v2,8
718,Standard_M8-2ms,2
719,Standard_M8-4ms,2
720,Standard_M8ms,4
721,Standard_M96ds_1_v3,8
722,Standard_M96ds_2_v3,8
723,Standard_M96s_1_v3,8
724,Standard_M96s_2_v3,8
725,Standard_NC12,2
726,Standard_NC12s_v2,8
727,Standard_NC12s_v3,8
728,Standard_NC12_Promo,2
729,Standard_NC16ads_A10_v4,4
730,Standard_NC16as_T4_v3,8
731,Standard_NC24,4
732,Standard_NC24ads_A100_v4,2
733,Standard_NC24r,4
734,Standard_NC24rs_v2,8
735,Standard_NC24rs_v3,8
736,Standard_NC24r_Promo,4
737,Standard_NC24s_v2,8
738,Standard_NC24s_v3,8
739,Standard_NC24_Promo,4
740,Standard_NC32ads_A10_v4,8
741,Standard_NC48ads_A100_v4,4
742,Standard_NC4as_T4_v3,4
743,Standard_NC6,2
744,Standard_NC64as_T4_v3,8
745,Standard_NC6s_v2,4
746,Standard_NC6s_v3,4
747,Standard_NC6_Promo,2
748,Standard_NC8ads_A10_v4,2
749,Standard_NC8as_T4_v3,8
750,Standard_NC96ads_A100_v4,8
751,Standard_ND12s,8
752,Standard_ND24rs,8
753,Standard_ND24s,8
754,Standard_ND40rs_v2,8
755,Standard_ND40s_v3,8
756,Standard_ND6s,4
757,Standard_ND96amsr_A100_v4,8
758,Standard_ND96asr_v4,8
759,Standard_NP10s,4
760,Standard_NP20s,8
761,Standard_NP40s,8
762,Standard_NV12,2
763,Standard_NV12ads_A10_v5,4
764,Standard_NV12s_v2,8
765,Standard_NV12s_v3,4
766,Standard_NV12_Promo,2
767,Standard_NV16as_v4,8
768,Standard_NV18ads_A10_v5,6
769,Standard_NV24,4
770,Standard_NV24s_v2,8
771,Standard_NV24s_v3,8
772,Standard_NV24_Promo,4
773,Standard_NV32as_v4,8
774,Standard_NV36adms_A10_v5,8
775,Standard_NV36ads_A10_v5,8
776,Standard_NV48s_v3,8
777,Standard_NV4as_v4,2
778,Standard_NV6,2
779,Standard_NV6ads_A10_v5,2
780,Standard_NV6s_v2,4
781,Standard_NV6_Promo,2
782,Standard_NV72ads_A10_v5,8
783,Standard_NV8as_v4,4
784,Standard_PB6s,1
