,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp
199,us-east-1b,r5a.xlarge,4,0.1113,0.031575,2024-01-26 17:02:19+00:00
200,us-east-1d,g5g.8xlarge,8,0.7408,0.096975,2024-01-26 17:02:19+00:00
201,us-east-1d,g4dn.metal,15,3.6703,0.24935333333333334,2024-01-26 17:02:19+00:00
202,us-east-1b,m4.10xlarge,8,1.0965,0.1414375,2024-01-26 17:02:19+00:00
203,us-east-1a,p2.16xlarge,8,5.0583,0.6366625,2024-01-26 17:02:19+00:00
204,us-east-1a,m5dn.2xlarge,4,0.3085,0.080875,2024-01-26 17:02:18+00:00
205,us-east-1d,r6in.32xlarge,14,4.9334,0.3570285714285714,2024-01-26 17:02:18+00:00
206,us-east-1f,m7a.16xlarge,15,1.4272,0.09981333333333334,2024-01-26 17:02:18+00:00
207,us-east-1f,m5zn.2xlarge,4,0.3588,0.09345,2024-01-26 17:02:17+00:00
208,us-east-1a,c7gd.2xlarge,4,0.146,0.040249999999999994,2024-01-26 17:02:17+00:00
209,us-east-1d,c7gd.2xlarge,4,0.1562,0.042800000000000005,2024-01-26 17:02:17+00:00
210,us-east-1d,r5n.xlarge,4,0.1519,0.041725,2024-01-26 17:02:16+00:00
211,us-east-1a,g4ad.4xlarge,3,0.4221,0.14403333333333332,2024-01-26 17:02:15+00:00
212,us-east-1b,m7i.16xlarge,15,1.3946,0.09764,2024-01-26 17:02:15+00:00
213,us-east-1c,t3.2xlarge,4,0.1398,0.0387,2024-01-26 17:02:13+00:00
214,us-east-1f,m5d.metal,15,2.2036,0.1515733333333333,2024-01-26 17:02:13+00:00
215,us-east-1d,m5d.metal,15,2.0797,0.14331333333333332,2024-01-26 17:02:13+00:00
216,us-east-1f,c6gn.xlarge,4,0.0737,0.022175,2024-01-26 17:02:13+00:00
217,us-east-1c,r5d.xlarge,4,0.1603,0.043825,2024-01-26 17:02:13+00:00
218,us-east-1b,c7gn.12xlarge,8,1.2699,0.1631125,2024-01-26 17:02:12+00:00
219,us-east-1f,c7gn.12xlarge,8,1.3917,0.17833749999999998,2024-01-26 17:02:12+00:00
220,us-east-1d,c7gn.12xlarge,8,1.1296,0.14557499999999998,2024-01-26 17:02:12+00:00
221,us-east-1d,i3.4xlarge,8,0.6551,0.0862625,2024-01-26 17:02:12+00:00
