,Unnamed: 0,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp,Provider
1673,1673,US East,Standard_HB120-96rs_v2 Spot,8,0.36,0.0849999999999999,2023-07-01 00:00:00+00:00,Azure
185,185,US East,H8 Spot,1,0.251524,0.251524,2023-07-01 00:00:00+00:00,Azure
1159,1159,US East,H16r Spot,1,0.553237,0.553237,2023-07-01 00:00:00+00:00,Azure
541,541,US East,HB120rs_v3 Spot,1,0.36,0.36,2023-07-01 00:00:00+00:00,Azure
766,766,US East,HB120-32rs_v3 Spot,1,0.36,0.36,2023-07-01 00:00:00+00:00,Azure
458,458,US East,PB6s Spot,1,0.121549,0.121549,2023-07-01 00:00:00+00:00,Azure
678,678,US East,NC12s v2 Spot,1,0.503087,0.503087,2023-07-01 00:00:00+00:00,Azure
1569,1569,US East,HB120-96rs_v3 Spot,1,0.36,0.36,2023-07-01 00:00:00+00:00,Azure
514,514,US East,PB12s Spot,1,0.243099,0.243099,2023-07-01 00:00:00+00:00,Azure
730,730,US East,M16-4ms Spot,1,0.42138,0.42138,2023-08-01 00:00:00+00:00,Azure
50,50,US East,M64-32ms Spot,1,1.0337,1.0337,2023-08-01 00:00:00+00:00,Azure
905,905,US East,M32ms Spot,1,0.84276,0.84276,2023-08-01 00:00:00+00:00,Azure
737,737,US East,M192ids_v2 Spot,1,2.4864,2.4864,2023-08-01 00:00:00+00:00,Azure
1353,1353,US East,M128ms Spot,1,2.6688,2.6688,2023-08-01 00:00:00+00:00,Azure
62,62,US East,Standard_HB120-64rs_v2 Spot,8,0.912,0.154,2023-08-01 00:00:00+00:00,Azure
942,942,US East,NV48s v3 Spot,1,0.456,0.456,2023-08-01 00:00:00+00:00,Azure
925,925,US East,M416-208ms_v2 Spot,1,9.915,9.915,2023-08-01 00:00:00+00:00,Azure
1348,1348,US East,M208ms v2 Spot,1,4.462,4.462,2023-08-01 00:00:00+00:00,Azure
1367,1367,US East,L8s v2 Spot,1,0.0624,0.0624,2023-08-01 00:00:00+00:00,Azure
281,281,US East,M192ims_v2 Spot,1,4.0476,4.0476,2023-08-01 00:00:00+00:00,Azure
73,73,US East,M416-104s_v2 Spot,1,4.958,4.958,2023-08-01 00:00:00+00:00,Azure
934,934,US East,NV24s v3 Spot,1,0.228,0.228,2023-08-01 00:00:00+00:00,Azure
273,273,US East,L80s v2 Spot,1,0.624,0.624,2023-08-01 00:00:00+00:00,Azure
924,924,US East,M416ms v2 Spot,1,11.829,11.829,2023-08-01 00:00:00+00:00,Azure
1344,1344,US East,M64ds_v2 Spot,1,0.9613,0.9613,2023-08-01 00:00:00+00:00,Azure
193,193,US East,HC44rs Spot,1,0.5192,0.5192,2023-08-01 00:00:00+00:00,Azure
1382,1382,US East,M416s v2 Spot,1,6.8716,6.8716,2023-08-01 00:00:00+00:00,Azure
1441,1441,US East,M192ids_v2 Spot,1,1.6032,1.6032,2023-08-01 00:00:00+00:00,Azure
776,776,US East,M128ms_v2 Spot,1,3.2157,3.2157,2023-08-01 00:00:00+00:00,Azure
338,338,US East,M16-8ms Spot,1,0.3073,0.3073,2023-08-01 00:00:00+00:00,Azure
1430,1430,US East,M192idms_v2 Spot,1,3.2064,3.2064,2023-08-01 00:00:00+00:00,Azure
0,0,US East,M32ts Spot,1,0.2707,0.2707,2023-08-01 00:00:00+00:00,Azure
781,781,US East,NV12s v3 Spot,1,0.114,0.114,2023-08-01 00:00:00+00:00,Azure
4,4,US East,M32-8ms Spot,1,0.84276,0.84276,2023-08-01 00:00:00+00:00,Azure
787,787,US East,M416is v2 Spot,1,6.8716,6.8716,2023-08-01 00:00:00+00:00,Azure
795,795,US East,M32-8ms Spot,1,0.6146,0.6146,2023-08-01 00:00:00+00:00,Azure
760,760,US East,M64 Spot,1,0.9613,0.9613,2023-08-01 00:00:00+00:00,Azure
1377,1377,US East,M64ms Spot,1,1.4641,1.4641,2023-08-01 00:00:00+00:00,Azure
1411,1411,US East,M32dms_v2 Spot,1,0.7618,0.7618,2023-08-01 00:00:00+00:00,Azure
18,18,US East,M64s_v2 Spot,1,0.6459,0.6459,2023-08-01 00:00:00+00:00,Azure
844,844,US East,M192ims_v2 Spot,1,3.1643,3.1643,2023-08-01 00:00:00+00:00,Azure
