,AvailabilityZone,InstanceType,MaximumNetworkInterfaces,SpotPrice,PricePerInterface,Timestamp
263,US East,B4als v2 Spot,1,0.038,0.038,2023-09-01T00:00:00Z
264,US East,DC1s v2 Spot,1,0.0142,0.0142,2023-09-01T00:00:00Z
265,US East,Standard_DC2ads_v5 Spot,2,0.13377,0.076885,2024-01-01T00:00:00Z
266,US East,E64 v4 Spot,1,0.4032,0.4032,2024-01-01T00:00:00Z
267,US East,D32-8s v3 Spot,1,0.328173,0.328173,2024-01-01T00:00:00Z
268,US East,B4as v2 Spot,1,0.04225,0.04225,2023-09-01T00:00:00Z
269,US East,D3 v2 Spot,1,0.082051,0.082051,2024-01-01T00:00:00Z
270,US East,Standard_E8_v5 Spot,4,0.0504,0.032600000000000004,2024-01-01T00:00:00Z
271,US East,D16ds v4 Spot,1,0.0904,0.0904,2024-01-01T00:00:00Z
272,US East,Standard_EC32ads_cc_v5 Spot,1,0.892,0.892,2023-09-01T00:00:00Z
273,US East,L80s v2 Spot,1,0.624,0.624,2023-08-01T00:00:00Z
274,US East,E20s v3 Spot,1,0.237838,0.237838,2024-01-01T00:00:00Z
275,US East,E2as v4 Spot,1,0.0126,0.0126,2022-07-01T00:00:00Z
276,US East,D11 Spot,1,0.0264,0.0264,2023-10-01T00:00:00Z
277,US East,E96ads v5 Spot,1,0.6288,0.6288,2022-11-01T00:00:00Z
278,US East,E2a v4 Spot,1,0.0218,0.0218,2023-09-01T00:00:00Z
279,US East,B8ps v2 Spot,1,0.0765,0.0765,2023-09-01T00:00:00Z
280,US East,A3 Spot,1,0.097874,0.097874,2024-01-01T00:00:00Z
281,US East,M192ims_v2 Spot,1,4.0476,4.0476,2023-08-01T00:00:00Z
282,US East,Standard_D64ps_v5 Spot,8,0.562432,0.11030400000000001,2024-01-01T00:00:00Z
283,US East,Standard_E20d_v5 Spot,8,0.144,0.057999999999999996,2024-01-01T00:00:00Z
284,US East,D4 v3 Spot,1,0.0192,0.0192,2024-01-01T00:00:00Z
285,US East,E8-2ds v5 Spot,1,0.10299,0.10299,2024-01-01T00:00:00Z
286,US East,NC24rs v2 Spot,1,1.106974,1.106974,2023-07-01T00:00:00Z
287,US East,Standard_FX36mds Spot,8,0.336139,0.082017375,2023-07-01T00:00:00Z
288,US East,D8 v3 Spot,1,0.0384,0.0384,2024-01-01T00:00:00Z
289,US East,F32alds v6 Spot,1,0.93525,0.93525,2024-01-01T00:00:00Z
290,US East,F2ads v6 Spot,1,0.0425,0.0425,2024-01-01T00:00:00Z
291,US East,D2ds v4 Spot,1,0.0113,0.0113,2024-01-01T00:00:00Z
292,US East,E64as v5 Spot,1,0.656,0.656,2023-11-01T00:00:00Z
293,US East,NP40s Spot,1,0.66,0.66,2023-04-01T00:00:00Z
294,US East,F4als v6 Spot,1,0.06275,0.06275,2024-01-01T00:00:00Z
295,US East,D4as_v6 Spot,1,0.04125,0.04125,2023-12-01T00:00:00Z
296,US East,E4-2s v3 Spot,1,0.0252,0.0252,2024-01-01T00:00:00Z
297,US East,Standard_DC2as_v5 Spot,2,0.122108,0.07105399999999999,2024-01-01T00:00:00Z
298,US East,E4ads v5 Spot,1,0.0262,0.0262,2022-11-01T00:00:00Z
299,US East,E8as_v6 Spot,1,0.2005,0.2005,2024-01-01T00:00:00Z
300,US East,E8as v5 Spot,1,0.082,0.082,2023-11-01T00:00:00Z
301,US East,F1as v6 Spot,1,0.01775,0.01775,2023-12-01T00:00:00Z
302,US East,F72alds v6 Spot,1,1.27625,1.27625,2024-01-01T00:00:00Z
303,US East,D64 v3 Spot,1,0.3072,0.3072,2024-01-01T00:00:00Z
304,US East,F1amds v6 Spot,1,0.027,0.027,2024-01-01T00:00:00Z
